Date,AvgSpeed_1,AvgSpeed_2,Cool_1,Cool_2,Depart_1,DewPoint_1,DewPoint_2,Heat_1,Heat_2,PrecipTotal_1,PrecipTotal_2,ResultDir_1,ResultDir_2,ResultSpeed_1,ResultSpeed_2,SeaLevel_1,SeaLevel_2,SnowFall_1,StnPressure_1,StnPressure_2,Sunrise_1,Sunset_1,Tavg_1,Tavg_2,Tmax_1,Tmax_2,Tmin_1,Tmin_2,WetBulb_1,WetBulb_2
2007-05-24,17.3,15.2,11.0,12.0,14.0,54,53,0.0,0.0,0.02,0.001,21,20,14.9,13.8,30.11,30.1,0.0,29.41,29.47,4.4,19.216666666666665,76.0,77.0,88,88,63,66,63.0,63.0
2007-05-25,8.8,8.2,0.0,0.0,1.0,44,46,2.0,3.0,0.001,0.09,5,5,4.9,4.5,30.24,30.23,0.0,29.51,29.57,4.383333333333334,19.233333333333334,63.0,62.0,70,66,56,57,53.0,53.0
2007-05-26,7.2,7.8,0.0,0.0,-5.0,55,55,8.0,5.0,1.01,0.28,17,15,2.8,2.5,30.11,30.1,0.0,29.36,29.42,4.366666666666666,19.25,57.0,60.0,65,70,49,50,56.0,57.0
2007-05-27,9.5,9.2,1.0,2.0,4.0,47,49,0.0,0.0,0.04,0.08,26,24,8.9,8.2,30.06,30.05,0.0,29.34,29.41,4.366666666666666,19.266666666666666,66.0,67.0,75,75,57,59,56.0,57.0
2007-05-28,5.3,5.2,0.0,0.0,2.0,47,49,0.0,0.0,0.001,0.0,10,8,4.8,4.7,30.15,30.14,0.0,29.43,29.49,4.35,19.266666666666666,65.0,65.0,79,76,50,54,56.0,57.0
2007-05-29,6.5,7.4,9.0,12.0,10.0,58,59,0.0,0.0,0.0,0.0,18,16,5.8,5.8,30.11,30.09,0.0,29.39,29.44,4.35,19.283333333333335,74.0,77.0,88,88,60,65,65.0,66.0
2007-05-30,10.6,10.1,12.0,15.0,13.0,58,57,0.0,0.0,0.0,0.0,19,17,10.3,9.7,30.04,30.03,0.0,29.31,29.38,4.333333333333333,19.3,77.0,80.0,87,89,66,70,65.0,66.0
2007-05-31,9.9,9.2,7.0,9.0,8.0,61,61,0.0,0.0,0.01,0.53,19,18,9.3,8.9,30.0,29.99,0.0,29.28,29.34,4.333333333333333,19.316666666666666,72.0,74.0,78,80,65,68,65.0,66.0
2007-06-01,6.4,5.8,9.0,12.0,10.0,63,63,0.0,0.0,0.19,0.21,17,16,4.2,4.7,29.91,29.9,0.0,29.19,29.25,4.316666666666666,19.333333333333332,74.0,77.0,85,86,62,67,66.0,67.0
2007-06-02,7.4,8.2,8.0,10.0,9.0,63,62,0.0,0.0,0.04,0.001,22,21,6.5,7.5,29.77,29.76,0.0,29.03,29.1,4.316666666666666,19.333333333333332,73.0,75.0,81,81,65,68,67.0,67.0
2007-06-03,6.7,7.2,5.0,6.0,6.0,60,60,0.0,0.0,0.01,0.32,25,24,5.2,4.9,29.56,29.54,0.0,28.82,28.87,4.3,19.35,70.0,71.0,78,77,62,64,63.0,64.0
2007-06-04,9.7,10.1,0.0,0.0,1.0,58,57,0.0,1.0,0.39,0.31,31,30,7.8,7.9,29.52,29.51,0.0,28.82,28.88,4.3,19.366666666666667,65.0,64.0,71,72,58,56,60.0,60.0
2007-06-05,7.6,8.1,0.0,0.0,-9.0,48,47,9.0,8.0,0.42,0.27,5,3,5.2,6.2,29.79,29.78,0.0,29.1,29.16,4.283333333333333,19.383333333333333,56.0,57.0,64,63,47,51,51.0,52.0
2007-06-06,11.4,10.6,0.0,0.0,-8.0,48,47,7.0,4.0,0.01,0.001,17,15,10.8,9.6,29.81,29.82,0.0,29.07,29.13,4.283333333333333,19.383333333333333,58.0,61.0,71,73,44,48,55.0,55.0
2007-06-07,23.1,20.7,16.0,17.0,15.0,62,61,0.0,0.0,0.0,0.0,20,19,22.7,20.3,29.55,29.55,0.0,28.84,28.91,4.283333333333333,19.4,81.0,82.0,91,92,71,71,69.0,68.0
2007-06-08,13.8,12.4,4.0,7.0,3.0,53,54,0.0,0.0,0.0,0.0,28,26,10.9,9.3,29.85,29.83,0.0,29.18,29.24,4.283333333333333,19.416666666666668,69.0,72.0,81,81,57,63,61.0,62.0
2007-06-09,5.0,4.7,1.0,3.0,0.0,47,49,0.0,0.0,0.0,0.0,33,19,0.3,2.4,30.07,30.05,0.0,29.36,29.42,4.266666666666667,19.416666666666668,66.0,68.0,79,79,52,57,57.0,58.0
2007-06-10,5.6,5.8,3.0,6.0,1.0,51,50,0.0,0.0,0.0,0.0,17,16,4.8,4.6,30.05,30.04,0.0,29.34,29.39,4.266666666666667,19.433333333333334,68.0,71.0,81,81,55,61,59.0,60.0
2007-06-11,6.9,8.4,7.0,10.0,5.0,52,51,0.0,0.0,0.0,0.0,11,9,4.9,6.6,30.11,30.09,0.0,29.41,29.47,4.266666666666667,19.433333333333334,72.0,75.0,86,85,58,65,61.0,61.0
2007-06-12,8.8,10.0,8.0,9.0,5.0,50,51,0.0,0.0,0.0,0.0,5,5,8.3,9.4,30.16,30.14,0.0,29.44,29.49,4.266666666666667,19.45,73.0,74.0,83,82,62,66,60.0,61.0
2007-06-13,8.6,8.6,9.0,12.0,6.0,53,53,0.0,0.0,0.0,0.0,5,5,7.2,7.0,30.09,30.09,0.0,29.36,29.36,4.266666666666667,19.45,74.0,77.0,87,86,60,68,62.0,62.0
2007-06-14,6.8,6.4,12.0,14.0,9.0,55,54,0.0,0.0,0.0,0.0,5,7,5.6,5.9,30.02,30.0,0.0,29.3,29.36,4.266666666666667,19.466666666666665,77.0,79.0,89,89,64,68,64.0,63.0
2007-06-15,4.9,4.1,12.0,13.0,9.0,56,56,0.0,0.0,0.0,0.0,6,9,4.1,3.8,29.99,29.97,0.0,29.28,29.34,4.266666666666667,19.466666666666665,77.0,78.0,91,89,63,67,64.0,65.0
2007-06-16,5.8,6.1,15.0,15.0,11.0,60,61,0.0,0.0,0.001,0.001,28,22,4.8,2.1,29.97,29.96,0.0,29.26,29.33,4.266666666666667,19.483333333333334,80.0,80.0,93,92,66,68,67.0,68.0
2007-06-17,6.3,6.1,16.0,16.0,12.0,64,65,0.0,0.0,0.0,0.16,11,11,2.8,4.0,29.95,29.93,0.0,29.23,29.28,4.266666666666667,19.483333333333334,81.0,81.0,91,91,70,71,70.0,70.0
2007-06-18,15.1,12.6,14.0,16.0,9.0,65,65,0.0,0.0,0.28,0.02,20,20,14.0,12.2,29.84,29.83,0.0,29.12,29.19,4.266666666666667,19.483333333333334,79.0,81.0,89,89,69,73,70.0,70.0
2007-06-19,11.4,11.3,8.0,8.0,3.0,55,55,0.0,0.0,0.58,0.93,28,29,10.7,10.1,29.95,29.93,0.0,29.26,29.31,4.266666666666667,19.5,73.0,73.0,80,81,65,65,63.0,63.0
2007-06-20,8.8,7.7,8.0,9.0,3.0,52,50,0.0,0.0,0.0,0.0,27,28,7.8,5.9,30.1,30.09,0.0,29.39,29.46,4.266666666666667,19.5,73.0,74.0,84,85,61,62,61.0,61.0
2007-06-21,10.7,9.6,4.0,8.0,-1.0,51,51,0.0,0.0,0.01,0.001,3,2,3.5,3.7,30.08,30.06,0.0,29.36,29.41,4.266666666666667,19.5,69.0,73.0,77,80,61,66,60.0,61.0
2007-06-22,8.7,8.1,4.0,4.0,-1.0,50,49,0.0,0.0,0.001,0.001,6,7,7.8,6.5,30.06,30.05,0.0,29.33,29.39,4.283333333333333,19.516666666666666,69.0,69.0,76,75,61,62,58.0,58.0
2007-06-23,9.0,8.1,0.0,0.0,-5.0,58,60,0.0,0.0,0.05,0.34,12,11,7.6,7.3,29.96,29.95,0.0,29.23,29.28,4.283333333333333,19.516666666666666,65.0,65.0,67,68,62,61,61.0,62.0
2007-06-24,8.0,6.0,5.0,5.0,-1.0,62,62,0.0,0.0,0.0,0.0,9,10,7.0,5.6,29.97,29.96,0.0,29.26,29.33,4.283333333333333,19.516666666666666,70.0,70.0,77,75,63,65,65.0,65.0
2007-06-25,6.8,5.9,12.0,12.0,6.0,66,67,0.0,0.0,0.0,0.0,14,12,3.9,4.0,30.07,30.06,0.0,29.38,29.44,4.283333333333333,19.516666666666666,77.0,77.0,89,86,65,67,70.0,70.0
2007-06-26,7.1,8.1,16.0,17.0,10.0,69,69,0.0,0.0,0.16,0.001,22,21,6.1,7.3,30.11,30.09,0.0,29.39,29.45,4.3,19.516666666666666,81.0,82.0,92,91,70,73,72.0,72.0
2007-06-27,8.8,8.5,16.0,15.0,10.0,70,69,0.0,0.0,0.15,0.35,24,24,7.5,7.9,30.02,30.0,0.0,29.29,29.36,4.3,19.516666666666666,81.0,80.0,91,89,71,71,72.0,72.0
2007-06-28,12.5,13.3,1.0,2.0,-5.0,55,56,0.0,0.0,0.0,0.0,3,2,11.9,12.2,30.09,30.07,0.0,29.41,29.43,4.316666666666666,19.516666666666666,66.0,67.0,74,73,58,61,60.0,61.0
2007-06-29,8.3,8.2,0.0,0.0,-8.0,55,56,2.0,1.0,0.0,0.0,2,2,7.6,7.4,30.13,30.11,0.0,29.41,29.47,4.316666666666666,19.516666666666666,63.0,64.0,70,71,56,56,59.0,60.0
2007-06-30,5.8,6.2,2.0,3.0,-5.0,46,49,0.0,0.0,0.0,0.0,3,4,4.9,5.1,30.13,30.11,0.0,29.41,29.46,4.316666666666666,19.516666666666666,67.0,68.0,79,77,54,58,56.0,58.0
2007-07-01,8.6,9.7,0.0,4.0,-7.0,52,51,0.0,0.0,0.0,0.0,4,4,8.6,9.5,30.23,30.21,0.0,29.51,29.56,4.333333333333333,19.516666666666666,65.0,69.0,75,76,54,61,58.0,59.0
2007-07-02,8.1,8.5,1.0,3.0,-6.0,50,50,0.0,0.0,0.0,0.0,14,12,5.9,7.4,30.22,30.21,0.0,29.49,29.55,4.333333333333333,19.516666666666666,66.0,68.0,79,77,53,58,58.0,59.0
2007-07-03,7.3,7.4,7.0,8.0,0.0,57,56,0.0,0.0,0.4,0.09,21,21,6.7,6.4,30.06,30.05,0.0,29.31,29.38,4.35,19.516666666666666,72.0,73.0,83,83,60,63,63.0,63.0
2007-07-04,8.2,8.8,12.0,11.0,5.0,65,65,0.0,0.0,0.16,0.66,27,25,4.6,3.1,29.9,29.88,0.0,29.18,29.23,4.366666666666666,19.5,77.0,76.0,86,84,67,67,69.0,69.0
2007-07-05,8.1,6.9,15.0,14.0,8.0,60,60,0.0,0.0,0.0,0.0,31,33,6.4,4.3,29.94,29.92,0.0,29.24,29.29,4.366666666666666,19.5,80.0,79.0,89,88,71,70,67.0,67.0
2007-07-06,5.5,5.5,11.0,11.0,4.0,57,57,0.0,0.0,0.0,0.0,5,7,3.2,3.3,30.03,30.01,0.0,29.32,29.38,4.383333333333334,19.5,76.0,76.0,86,84,66,68,64.0,65.0
2007-07-07,8.6,8.1,12.0,13.0,5.0,63,62,0.0,0.0,0.0,0.0,22,23,8.4,7.4,29.91,29.9,0.0,29.18,29.24,4.383333333333334,19.5,77.0,78.0,90,88,64,68,69.0,68.0
2007-07-08,13.1,12.7,20.0,19.0,12.0,67,67,0.0,0.0,0.0,0.0,24,23,12.9,12.6,29.77,29.76,0.0,29.05,29.12,4.4,19.483333333333334,85.0,84.0,94,93,75,75,72.0,72.0
2007-07-09,8.8,8.8,17.0,18.0,9.0,66,67,0.0,0.0,0.3,0.24,24,23,4.9,4.8,29.8,29.79,0.0,29.11,29.16,4.416666666666667,19.483333333333334,82.0,83.0,94,93,70,72,70.0,71.0
2007-07-10,10.5,10.2,14.0,15.0,6.0,67,67,0.0,0.0,0.43,0.08,23,23,8.6,8.2,29.77,29.76,0.0,29.06,29.13,4.416666666666667,19.483333333333334,79.0,80.0,89,89,69,70,70.0,71.0
2007-07-11,10.9,11.2,5.0,5.0,-3.0,51,51,0.0,0.0,0.0,0.0,30,30,8.8,9.1,29.93,29.92,0.0,29.23,29.28,4.433333333333334,19.466666666666665,70.0,70.0,77,77,62,63,59.0,59.0
2007-07-12,11.1,11.4,6.0,5.0,-2.0,51,51,0.0,0.0,0.0,0.0,29,28,9.4,10.0,29.93,29.92,0.0,29.22,29.28,4.45,19.466666666666665,71.0,70.0,80,80,61,60,59.0,60.0
2007-07-13,5.3,5.8,3.0,2.0,-5.0,52,53,0.0,0.0,0.0,0.0,1,7,1.4,2.0,29.98,29.98,0.0,29.26,29.33,4.466666666666667,19.45,68.0,67.0,78,74,58,59,58.0,59.0
2007-07-14,13.2,13.9,8.0,9.0,0.0,55,55,0.0,0.0,0.0,0.0,26,25,8.3,8.4,29.79,29.79,0.0,29.08,29.14,4.466666666666667,19.45,73.0,74.0,84,85,61,62,62.0,62.0
2007-07-15,4.9,6.5,6.0,7.0,-3.0,53,52,0.0,0.0,0.0,0.0,29,9,2.1,1.2,29.89,29.88,0.0,29.19,29.25,4.483333333333333,19.433333333333334,71.0,72.0,82,80,60,64,61.0,61.0
2007-07-16,5.2,6.6,9.0,9.0,0.0,60,60,0.0,0.0,0.39,0.07,24,23,4.4,5.6,29.96,29.94,0.0,29.25,29.31,4.5,19.416666666666668,74.0,74.0,82,82,65,66,65.0,65.0
2007-07-17,6.5,7.4,11.0,11.0,2.0,66,65,0.0,0.0,0.11,0.11,23,23,5.2,6.3,29.9,29.89,0.0,29.18,29.24,4.516666666666667,19.416666666666668,76.0,76.0,83,83,68,69,69.0,69.0
2007-07-18,10.1,10.6,12.0,12.0,3.0,68,69,0.0,0.0,1.55,0.92,24,24,9.1,10.3,29.84,29.83,0.0,29.11,29.18,4.533333333333333,19.4,77.0,77.0,85,85,69,69,71.0,71.0
2007-07-19,11.9,14.4,8.0,8.0,-1.0,63,62,0.0,0.0,0.16,0.01,1,36,7.0,7.7,29.9,29.88,0.0,29.21,29.26,4.55,19.383333333333333,73.0,73.0,83,82,63,63,66.0,66.0
2007-07-20,9.1,11.5,2.0,3.0,-7.0,53,52,0.0,0.0,0.0,0.0,3,4,8.6,11.3,30.14,30.12,0.0,29.44,29.49,4.55,19.383333333333333,67.0,68.0,75,74,58,62,59.0,59.0
2007-07-21,7.4,7.4,1.0,2.0,-8.0,52,52,0.0,0.0,0.0,0.0,3,4,6.5,5.8,30.22,30.21,0.0,29.51,29.57,4.566666666666666,19.366666666666667,66.0,67.0,74,75,58,58,58.0,59.0
2007-07-22,3.3,3.5,5.0,6.0,-4.0,55,54,0.0,0.0,0.0,0.0,16,18,1.7,1.9,30.21,30.2,0.0,29.49,29.54,4.583333333333333,19.35,70.0,71.0,81,81,58,61,61.0,61.0
2007-07-23,4.0,3.9,7.0,8.0,-2.0,55,55,0.0,0.0,0.0,0.0,9,12,3.2,2.9,30.1,30.09,0.0,29.37,29.42,4.6,19.333333333333332,72.0,73.0,83,82,60,63,63.0,63.0
2007-07-24,5.2,4.9,9.0,9.0,0.0,58,57,0.0,0.0,0.0,0.001,20,21,3.1,1.1,30.04,30.03,0.0,29.32,29.38,4.616666666666667,19.316666666666666,74.0,74.0,82,82,65,65,64.0,64.0
2007-07-25,6.6,7.0,13.0,12.0,4.0,61,60,0.0,0.0,0.001,0.0,25,23,5.8,6.4,30.0,29.99,0.0,29.29,29.35,4.633333333333333,19.3,78.0,77.0,85,83,71,70,67.0,66.0
2007-07-26,9.4,9.9,10.0,9.0,1.0,65,65,0.0,0.0,0.19,0.89,22,22,7.2,7.2,29.92,29.91,0.0,29.19,29.25,4.65,19.3,75.0,74.0,83,84,66,64,68.0,68.0
2007-07-27,7.9,8.1,12.0,12.0,3.0,68,67,0.0,0.0,0.17,0.04,3,36,3.0,1.2,29.82,29.8,0.0,29.11,29.16,4.666666666666667,19.283333333333335,77.0,77.0,83,83,70,70,70.0,70.0
2007-07-28,10.2,10.7,8.0,10.0,-1.0,65,65,0.0,0.0,0.0,0.0,3,3,10.0,10.6,29.93,29.91,0.0,29.23,29.28,4.683333333333334,19.266666666666666,73.0,75.0,80,80,66,70,68.0,68.0
2007-07-29,5.7,6.9,9.0,11.0,0.0,57,56,0.0,0.0,0.0,0.0,5,5,4.8,6.3,29.99,29.97,0.0,29.28,29.34,4.7,19.25,74.0,76.0,85,85,63,67,64.0,64.0
2007-07-30,4.3,4.6,11.0,11.0,2.0,55,57,0.0,0.0,0.0,0.0,6,6,3.8,3.1,30.03,30.01,0.0,29.33,29.39,4.716666666666667,19.233333333333334,76.0,76.0,89,86,62,65,64.0,65.0
2007-07-31,4.9,5.0,15.0,14.0,6.0,61,60,0.0,0.0,0.0,0.0,4,7,3.3,4.0,30.04,30.02,0.0,29.33,29.39,4.733333333333333,19.216666666666665,80.0,79.0,91,89,68,69,68.0,68.0
2007-08-01,4.1,3.7,16.0,15.0,8.0,62,63,0.0,0.0,0.0,0.0,9,13,3.5,2.1,30.0,29.98,0.0,29.29,29.34,4.75,19.183333333333334,81.0,80.0,92,91,69,69,69.0,70.0
2007-08-02,5.9,7.2,16.0,17.0,8.0,66,66,0.0,0.0,0.0,0.0,26,23,5.5,6.5,29.97,29.95,0.0,29.26,29.31,4.766666666666667,19.166666666666668,81.0,82.0,91,91,70,73,71.0,72.0
2007-08-03,5.7,5.8,15.0,16.0,7.0,56,58,0.0,0.0,0.0,0.0,3,6,2.7,3.3,30.02,30.0,0.0,29.31,29.36,4.783333333333333,19.15,80.0,81.0,90,88,69,73,66.0,67.0
2007-08-04,6.1,6.6,8.0,10.0,0.0,58,58,0.0,0.0,0.03,0.02,8,9,5.7,5.9,30.03,30.01,0.0,29.31,29.36,4.8,19.133333333333333,73.0,75.0,81,81,64,68,64.0,65.0
2007-08-05,9.6,10.2,13.0,13.0,5.0,71,71,0.0,0.0,1.43,0.97,21,22,5.4,7.0,29.81,29.79,0.0,29.08,29.15,4.816666666666666,19.116666666666667,78.0,78.0,88,88,67,68,73.0,72.0
2007-08-06,4.9,4.6,16.0,15.0,8.0,72,72,0.0,0.0,0.26,0.05,10,10,1.6,2.6,29.83,29.81,0.0,29.13,29.17,4.833333333333333,19.1,81.0,80.0,88,85,74,75,74.0,74.0
2007-08-07,9.0,8.8,17.0,18.0,9.0,73,73,0.0,0.0,1.31,0.06,25,24,6.2,6.3,29.76,29.74,0.0,29.06,29.11,4.85,19.066666666666666,82.0,83.0,91,92,72,73,76.0,76.0
2007-08-08,6.9,6.4,15.0,16.0,7.0,71,72,0.0,0.0,0.06,0.09,3,4,3.0,1.5,29.83,29.81,0.0,29.13,29.18,4.866666666666667,19.05,80.0,81.0,87,87,73,74,73.0,74.0
2007-08-09,6.0,6.3,13.0,14.0,5.0,71,71,0.0,0.0,0.05,0.46,29,27,2.5,3.1,29.84,29.82,0.0,29.13,29.19,4.883333333333333,19.033333333333335,78.0,79.0,84,85,72,73,73.0,73.0
2007-08-10,5.9,5.4,13.0,15.0,5.0,68,69,0.0,0.0,0.0,0.0,2,6,4.5,3.0,29.96,29.94,0.0,29.26,29.32,4.9,19.0,78.0,80.0,86,86,70,73,72.0,72.0
2007-08-11,3.9,3.9,13.0,13.0,5.0,65,65,0.0,0.0,0.0,0.0,19,20,3.2,3.1,30.02,30.0,0.0,29.31,29.38,4.916666666666667,18.983333333333334,78.0,78.0,89,88,67,68,70.0,70.0
2007-08-12,5.4,6.6,13.0,13.0,5.0,67,67,0.0,0.0,0.29,0.23,6,6,1.7,1.9,30.06,30.04,0.0,29.34,29.4,4.933333333333334,18.966666666666665,78.0,78.0,88,87,67,68,71.0,70.0
2007-08-13,6.9,7.7,8.0,10.0,0.0,57,54,0.0,0.0,0.0,0.0,6,8,6.2,6.9,30.11,30.08,0.0,29.39,29.44,4.95,18.933333333333334,73.0,75.0,81,80,65,69,64.0,63.0
2007-08-14,8.0,9.0,10.0,10.0,3.0,67,66,0.0,0.0,0.41,0.45,25,23,5.9,6.4,29.93,29.92,0.0,29.23,29.29,4.966666666666667,18.916666666666668,75.0,75.0,84,84,65,65,70.0,69.0
2007-08-15,5.8,7.1,11.0,12.0,4.0,67,69,0.0,0.0,0.23,0.83,7,6,3.4,4.9,29.89,29.87,0.0,29.17,29.23,4.983333333333333,18.9,76.0,77.0,80,81,71,72,70.0,71.0
2007-08-16,5.7,5.7,6.0,7.0,-1.0,64,65,0.0,0.0,0.0,0.0,1,1,3.6,3.5,29.97,29.95,0.0,29.28,29.33,5.0,18.866666666666667,71.0,72.0,77,77,65,67,67.0,68.0
2007-08-17,6.8,7.4,5.0,8.0,-2.0,54,54,0.0,0.0,0.0,0.0,32,31,5.9,6.1,30.1,30.08,0.0,29.41,29.46,5.016666666666667,18.85,70.0,73.0,79,80,60,65,61.0,62.0
2007-08-18,8.1,7.0,0.0,0.0,-8.0,54,54,1.0,0.0,0.09,0.42,12,13,6.4,6.1,30.16,30.15,0.0,29.44,29.48,5.033333333333333,18.816666666666666,64.0,65.0,68,69,59,60,58.0,58.0
2007-08-19,7.4,7.5,0.0,1.0,-6.0,62,63,0.0,0.0,1.33,1.33,10,10,6.0,5.5,29.99,29.98,0.0,29.24,29.3,5.05,18.8,65.0,66.0,68,69,62,62,64.0,64.0
2007-08-20,5.7,5.9,8.0,7.0,2.0,68,69,0.0,0.0,0.91,0.48,12,20,0.5,2.4,29.87,29.85,0.0,29.15,29.21,5.066666666666666,18.766666666666666,73.0,72.0,78,76,68,68,69.0,70.0
2007-08-21,6.0,6.0,13.0,12.0,7.0,70,70,0.0,0.0,0.001,0.01,18,17,3.8,3.5,29.91,29.89,0.0,29.21,29.26,5.083333333333333,18.75,78.0,77.0,87,85,69,69,72.0,72.0
2007-08-22,9.5,8.4,15.0,15.0,9.0,71,70,0.0,0.0,0.37,0.88,21,21,5.3,5.1,29.94,29.93,0.0,29.23,29.29,5.1,18.716666666666665,80.0,80.0,90,90,69,70,73.0,73.0
2007-08-23,11.7,9.1,13.0,15.0,7.0,69,69,0.0,0.0,2.35,1.96,21,21,9.6,6.7,29.87,29.86,0.0,29.15,29.21,5.133333333333334,18.7,78.0,80.0,87,89,69,70,71.0,71.0
